Blank OD is 14.6332
Time OD Volume Z Media ODpost
30.52 0.5000 0.1678 200.0000 0.0000 1.0 0.1691
144.81 0.5000 0.1716 200.0000 0.0000 1.0 0.1708
259.11 0.5000 0.1760 200.0000 0.0000 1.0 0.1754
373.30 0.5000 0.1795 200.0000 0.0000 1.0 0.1786
487.58 0.5000 0.1831 200.0000 0.0000 1.0 0.1824
601.78 0.5000 0.1874 200.0000 0.0000 1.0 0.1866
715.95 0.5000 0.1896 200.0000 0.0000 1.0 0.1899
830.18 0.5000 0.1949 200.0000 0.0000 1.0 0.1979
944.50 0.5000 0.2006 200.0000 0.0000 1.0 0.2004
1058.73 0.5000 0.2040 200.0000 0.0000 1.0 0.2051
1172.94 0.5000 0.2095 200.0000 0.0000 1.0 0.2106
1287.15 0.5000 0.2148 200.0000 0.0000 1.0 0.2141
1401.37 0.5000 0.2206 200.0000 0.0000 1.0 0.2203
1515.70 0.5000 0.2250 200.0000 0.0000 1.0 0.2257
1629.89 0.5000 0.2314 200.0000 0.0000 1.0 0.2319
1744.20 0.5000 0.2370 200.0000 0.0000 1.0 0.2373
1858.47 0.5000 0.2450 200.0000 0.0000 1.0 0.2445
1972.74 0.5000 0.2503 200.0000 0.0000 1.0 0.2510
2087.01 0.5000 0.2583 200.0000 0.0000 1.0 0.2586
2201.33 0.5000 0.2659 200.0000 0.0000 1.0 0.2638
2315.59 0.5000 0.2717 200.0000 0.0000 1.0 0.2738
2429.87 0.5000 0.2813 200.0000 0.0000 1.0 0.2813
2544.15 0.5000 0.2903 200.0000 0.0000 1.0 0.2882
2658.47 0.5000 0.2971 200.0000 0.0000 1.0 0.2978
2772.68 0.5000 0.3080 200.0000 0.0000 1.0 0.3068
2886.95 0.5000 0.3166 200.0000 0.0000 1.0 0.3177
3001.22 0.5000 0.3247 200.0000 0.0000 1.0 0.3297
3115.45 0.5000 0.3359 200.0000 0.0000 1.0 0.3367
3229.68 0.5000 0.3470 200.0000 0.0000 1.0 0.3437
3343.93 0.5000 0.3528 200.0000 0.0000 1.0 0.3545
3458.21 0.5000 0.3655 200.0000 0.0000 1.0 0.3648
3572.39 0.5000 0.3749 200.0000 0.0000 1.0 0.3747
3686.68 0.5000 0.3850 200.0000 0.0000 1.0 0.3861
3800.93 0.5000 0.3958 200.0000 0.0000 1.0 0.3975
3915.13 0.5000 0.4075 200.0000 0.0000 1.0 0.4129
4029.43 0.5000 0.4216 200.0000 0.0000 1.0 0.4244
4143.73 0.5000 0.4312 200.0000 0.0000 1.0 0.4324
4257.95 0.5000 0.4454 200.0000 0.0000 1.0 0.4450
4372.21 0.5000 0.4561 200.0000 0.0000 1.0 0.4610
4486.42 0.5000 0.4683 200.0000 0.0000 1.0 0.4701
4600.71 0.5000 0.4904 200.0000 0.0000 1.0 0.4853
4715.03 0.5000 0.4951 200.0000 0.0000 1.0 0.5014
4829.31 0.5000 0.5083 200.0000 0.4125 1.0 0.5102
4943.59 0.5000 0.5309 200.0000 1.9587 1.0 0.5281
5057.87 0.5000 0.5440 200.0000 4.1597 1.0 0.5448
5172.09 0.5000 0.5584 200.0000 7.0797 1.0 0.5553
5286.41 0.5000 0.5756 237.7508 10.8612 1.0 0.5724
5400.69 0.5000 0.5909 288.2490 15.4085 1.0 0.5899
5514.97 0.5000 0.6021 326.7378 20.5123 1.0 0.6001
5629.20 0.5000 0.6175 379.0080 26.3893 1.0 0.6132
5743.42 0.5000 0.6201 392.5826 32.3924 1.0 0.6186
5857.71 0.5000 0.6348 443.4876 39.1317 1.0 0.6214
5971.98 0.5000 0.6395 464.7008 46.1082 1.0 0.6424
6086.21 0.5000 0.6504 504.9757 53.6306 1.0 0.6420
6200.41 0.5000 0.6545 524.8748 61.3560 1.0 0.6581
6314.68 0.5000 0.6588 545.7452 69.2968 1.0 0.6506
6428.93 0.5000 0.6659 575.2592 77.5912 1.0 0.6682
6543.13 0.5000 0.6621 572.0000 85.6963 1.0 0.6457
6657.42 0.5000 0.6656 590.6718 93.9746 1.0 0.6760
6771.68 0.5000 0.6686 608.3350 102.4067 1.0 0.6486
6885.93 0.5000 0.6710 623.9437 110.9565 1.0 0.6529
7000.28 0.5000 0.6714 633.7368 119.5267 1.0 0.6457
7114.58 0.5000 0.6691 635.1571 127.9796 1.0 0.6536
7228.87 0.5000 0.6687 642.4691 136.4139 1.0 0.6543
7343.15 0.5000 0.6674 646.9577 144.7835 1.0 0.6497
7457.43 0.5000 0.6680 657.3031 153.1854 1.0 0.6593
7571.70 0.5000 0.6641 653.6996 161.3906 1.0 0.6548
7685.99 0.5000 0.6581 643.5815 169.2953 1.0 0.6658
7800.18 0.5000 0.6542 639.6297 177.0057 1.0 0.6417
7914.50 0.5000 0.6667 685.3613 185.3394 1.0 0.6354
8028.82 0.5000 0.6553 658.9749 193.1040 1.0 0.6373
8143.15 0.5000 0.6483 645.2964 200.5169 1.0 0.6218
8257.39 0.5000 0.6386 623.3458 207.4486 1.0 0.6252
8371.66 0.5000 0.6395 632.9277 214.4236 1.0 0.6262
8485.94 0.5000 0.6424 648.7779 221.5442 1.0 0.6298
8600.21 0.5000 0.6359 635.9087 228.3371 1.0 0.6106
8714.49 0.5000 0.6336 635.6670 235.0146 1.0 0.6256
8828.76 0.5000 0.6250 616.3508 241.2660 1.0 0.6054
8942.96 0.5000 0.6304 639.0804 247.7876 1.0 0.6191
9057.25 0.5000 0.6172 605.1784 253.6464 1.0 0.5981
9171.57 0.5000 0.6183 614.4572 259.5614 1.0 0.5960
9285.85 0.5000 0.6144 608.5964 265.2832 1.0 0.5961
9400.13 0.5000 0.6204 632.3652 271.3010 1.0 0.5982
9514.41 0.5000 0.6124 614.2400 276.9229 1.0 0.6060
9628.69 0.5000 0.6109 615.2085 282.4686 1.0 0.6015
9742.94 0.5000 0.6177 641.3881 288.3525 1.0 0.6139
9857.20 0.5000 0.6114 628.0716 293.9217 1.0 0.5867
9971.45 0.5000 0.6062 617.8043 299.2312 1.0 0.5916
10085.70 0.5000 0.6051 619.8098 304.4866 1.0 0.5889
10199.98 0.5000 0.6078 633.1814 309.8751 1.0 0.5804
10314.26 0.5000 0.5967 604.9199 314.7119 1.0 0.5710
10428.53 0.5000 0.5861 577.3066 319.0167 1.0 0.5803
10542.81 0.5000 0.5838 574.5967 323.2065 1.0 0.5584
10657.14 0.5000 0.5803 568.1113 327.2214 1.0 0.5632
10771.41 0.5000 0.5853 587.5210 331.4886 1.0 0.5726
10885.68 0.5000 0.5895 604.5082 335.9643 1.0 0.5615
10999.93 0.5000 0.5819 585.7492 340.0591 1.0 0.5622
11114.17 0.5000 0.5847 598.4980 344.2958 1.0 0.5683
11228.42 0.5000 0.5827 596.4115 348.4289 1.0 0.5731
11342.68 0.5000 0.5911 626.3832 352.9855 1.0 0.5783
11456.92 0.5000 0.5926 635.2733 357.6132 1.0 0.5718
11571.17 0.5000 0.5860 619.8771 361.9126 1.0 0.5752
11685.46 0.5000 0.5944 649.8393 366.6327 1.0 0.5826
11799.77 0.5000 0.5867 631.0169 370.9669 1.0 0.5758
11914.04 0.5000 0.5842 627.6921 375.1755 1.0 0.5791
12028.32 0.5000 0.5956 666.8951 379.9578 1.0 0.5823
12142.59 0.5000 0.5921 660.8143 384.5620 1.0 0.5757
12256.86 0.5000 0.5963 678.2274 389.3762 1.0 0.5695
12371.09 0.5000 0.5815 637.8044 393.4487 1.0 0.5721
12485.36 0.5000 0.5818 643.0556 397.5407 1.0 0.5593
12599.60 0.5000 0.5739 623.0248 401.2371 1.0 0.5589
12713.88 0.5000 0.5761 633.4425 405.0438 1.0 0.5859
12828.16 0.5000 0.5857 666.3246 409.3271 1.0 0.5553
12942.45 0.5000 0.5678 616.0127 412.7154 1.0 0.5535
13056.68 0.5000 0.5675 618.5669 416.0900 1.0 0.5588
13170.97 0.5000 0.5767 650.0845 419.9259 1.0 0.5537
13285.24 0.5000 0.5722 640.0571 423.5347 1.0 0.5548
13399.46 0.5000 0.5670 627.9007 426.8849 1.0 0.5550
13513.68 0.5000 0.5699 640.1338 430.3808 1.0 0.5714
13627.95 0.5000 0.5743 657.1449 434.0982 1.0 0.5444
13742.15 0.5000 0.5718 653.2118 437.6903 1.0 0.5681
13856.43 0.5000 0.5598 619.9558 440.6782 1.0 0.5365
13970.68 0.5000 0.5492 590.7794 443.1389 1.0 0.5420
14084.93 0.5000 0.5581 620.4447 446.0456 1.0 0.5362
14199.21 0.5000 0.5447 582.2326 448.2781 1.0 0.5392
14313.48 0.5000 0.5548 615.4998 451.0195 1.0 0.5519
14427.77 0.5000 0.5560 621.9256 453.8212 1.0 0.5434
14542.05 0.5000 0.5554 622.6849 456.5895 1.0 0.5323
14656.32 0.5000 0.5493 606.8484 459.0527 1.0 0.5410
14770.59 0.5000 0.5625 649.7039 462.1782 1.0 0.5361
14884.87 0.5000 0.5543 627.8092 464.8934 1.0 0.5494
14999.06 0.5000 0.5571 639.1939 467.7508 1.0 0.5283
15113.38 0.5000 0.5585 646.1859 470.6760 1.0 0.5339
15227.68 0.5000 0.5590 650.7134 473.6274 1.0 0.5454
15341.98 0.5000 0.5569 647.2647 476.4739 1.0 0.5330
15456.26 0.5000 0.5446 612.6156 478.7057 1.0 0.5440
15570.53 0.5000 0.5450 615.8234 480.9536 1.0 0.5269
15684.80 0.5000 0.5445 616.7687 483.1801 1.0 0.5300
15799.08 0.5000 0.5412 608.9489 485.2418 1.0 0.5346
15913.40 0.5000 0.5544 651.0957 487.9608 1.0 0.5293
16027.66 0.5000 0.5418 615.5708 490.0527 1.0 0.5276
16141.88 0.5000 0.5366 601.8198 491.8850 1.0 0.5335
16256.17 0.5000 0.5515 648.8969 494.4589 1.0 0.5399
16370.44 0.5000 0.5442 629.2914 496.6693 1.0 0.5321
16484.72 0.5000 0.5494 647.2895 499.1385 1.0 0.5418
16599.00 0.5000 0.5419 627.0180 501.2349 1.0 0.5287
16713.27 0.5000 0.5399 622.8987 503.2294 1.0 0.5267
16827.55 0.5000 0.5487 651.6477 505.6624 1.0 0.5343
16941.73 0.5000 0.5454 644.1102 507.9321 1.0 0.5242
17056.05 0.5000 0.5412 633.5888 509.9920 1.0 0.5242
17170.32 0.5000 0.5462 650.9429 512.3027 1.0 0.5253
17284.59 0.5000 0.5413 638.3872 514.3697 1.0 0.5354
17398.86 0.5000 0.5545 680.5204 517.0934 1.0 0.5270
17513.14 0.5000 0.5372 630.6240 518.9546 1.0 0.5456
17627.37 0.5000 0.5508 673.7584 521.4924 1.0 0.5276
17741.65 0.5000 0.5442 656.2616 523.7017 1.0 0.5252
17855.92 0.5000 0.5415 650.2509 525.7763 1.0 0.5260
17970.18 0.5000 0.5488 674.6734 528.2172 1.0 0.5402
18084.43 0.5000 0.5444 663.7805 530.4396 1.0 0.5321
18198.68 0.5000 0.5463 671.7813 532.7566 1.0 0.5312
18312.94 0.5000 0.5581 709.8368 535.6596 1.0 0.5353
18427.15 0.5000 0.5447 672.0256 537.8951 1.0 0.5201
18541.45 0.5000 0.5371 651.1178 539.7512 1.0 0.5513
18655.73 0.5000 0.5389 658.4349 541.6968 1.0 0.5249
18769.94 0.5000 0.5359 651.2687 543.4931 1.0 0.5244
18884.16 0.5000 0.5487 691.9300 545.9265 1.0 0.5328
18998.34 0.5000 0.5355 654.0779 547.6995 1.0 0.5328
19112.67 0.5000 0.5323 646.1949 549.3141 1.0 0.5405
19226.95 0.5000 0.5344 654.3139 551.0355 1.0 0.5249
19341.23 0.5000 0.5418 678.6721 553.1279 1.0 0.5266
19455.56 0.5000 0.5398 674.5973 555.1192 1.0 0.5300
19569.84 0.5000 0.5471 698.8094 557.4747 1.0 0.5266
19684.11 0.5000 0.5490 706.7809 559.9224 1.0 0.5337
19798.30 0.5000 0.5371 673.1191 561.7781 1.0 0.5220
19912.62 0.5000 0.5438 695.3334 563.9675 1.0 0.5226
20026.95 0.5000 0.5364 674.9043 565.7861 1.0 0.5236
20141.13 0.5000 0.5261 645.4421 567.0920 1.0 0.5418
20255.40 0.5000 0.5435 699.7533 569.2667 1.0 0.5251
20369.67 0.5000 0.5391 688.5494 571.2222 1.0 0.5206
20483.93 0.5000 0.5443 706.3704 573.4377 1.0 0.5294
20598.17 0.5000 0.5293 662.7954 574.9026 1.0 0.5252
20712.36 0.5000 0.5380 690.9249 576.8046 1.0 0.5356
20826.66 0.5000 0.5404 700.0600 578.8252 1.0 0.5219
20940.90 0.5000 0.5405 702.2568 580.8487 1.0 0.5458
21055.14 0.5000 0.5347 686.7259 582.5844 1.0 0.5122
21169.32 0.5000 0.5238 655.2227 583.7752 1.0 0.5111
21283.64 0.5000 0.5248 659.4247 585.0153 1.0 0.5150
21397.86 0.5000 0.5323 683.6376 586.6321 1.0 0.5151
21512.14 0.5000 0.5310 681.2079 588.1825 1.0 0.5182
21626.46 0.5000 0.5335 690.3236 589.8569 1.0 0.5104
21740.78 0.5000 0.5318 686.8960 591.4477 1.0 0.5160
21855.05 0.5000 0.5294 681.0913 592.9173 1.0 0.5145
21969.33 0.5000 0.5241 666.5068 594.1237 1.0 0.5198
22083.51 0.5000 0.5320 691.7557 595.7242 1.0 0.5227
22197.83 0.5000 0.5394 716.0331 597.6965 1.0 0.5180
22312.10 0.5000 0.5307 691.2896 599.2308 1.0 0.5393
22426.37 0.5000 0.5330 699.9883 600.8826 1.0 0.5213
22540.65 0.5000 0.5339 704.2277 602.5768 1.0 0.5185
22654.92 0.5000 0.5235 674.1788 603.7506 1.0 0.5097
22769.24 0.5000 0.5250 680.0570 605.0015 1.0 0.5066
22883.52 0.5000 0.5254 682.3832 606.2700 1.0 0.5086
22997.79 0.5000 0.5162 655.6714 607.0799 1.0 0.5054
